title,published_dt,section,source,link,skip_reason
"Mississippi hospital lays off 17% of staff, eliminates multiple services",2026-04-09T08:43:43-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/mississippi-hospital-cuts-17-of-staff-eliminates-multiple-services,Fetch error: Failed both requests and Selenium
Rural hospitals depend on patients for as much as 34% of allowed amounts,2026-04-08T17:11:53-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/rural-hospitals-depend-on-patients-for-as-much-as-34-of-allowed-amounts,Fetch error: Failed both requests and Selenium
9 Medicare Advantage numbers to know in 2026,2026-04-08T16:04:02-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/8-medicare-advantage-numbers-to-know-in-2026,Fetch error: Failed both requests and Selenium
About 1 in 3 providers believe payers deliver on promises: Aetna,2026-04-08T14:15:10-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/about-1-in-3-providers-believe-payers-deliver-on-promises-aetna,Fetch error: Failed both requests and Selenium
4 hospital closures in 2026,2026-04-08T10:15:00-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/4-hospital-closures-in-2026,Fetch error: Failed both requests and Selenium
"HRSA to dedicate $135M to rural health workforce, nutrition services",2026-04-08T09:02:47-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/hrsa-to-dedicate-135m-to-rural-health-workforce-nutrition-services,Fetch error: Failed both requests and Selenium
"Arkansas hospital to close after 3 years, transition to psych facility",2026-04-07T16:52:42-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/arkansas-hospital-that-opened-3-years-ago-to-end-acute-emergency-care,Fetch error: Failed both requests and Selenium
Healthcare affordability leads as Americans' top concern: Gallup,2026-04-07T16:09:43-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/healthcare-affordability-leads-as-americans-top-concern-gallup,Fetch error: Failed both requests and Selenium
The Margin Pressure Solution: Why Automating Patient Refunds Is a Smart Place to Start,2026-04-07T15:55:27-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/revenue-cycle-management/the-margin-pressure-solution-why-automating-patient-refunds-is-a-smart-place-to-start,Fetch error: Failed both requests and Selenium
SSM Health to open children's hospital,2026-04-07T11:39:52-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/ssm-health-to-open-150m-childrens-hospital,Fetch error: Failed both requests and Selenium
West Virginia hospital inches closer to critical access status,2026-04-07T10:22:09-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/west-virginia-hospital-inches-closer-to-critical-access-status,Fetch error: Failed both requests and Selenium
Mercy hospital to invest $60M in facility upgrades,2026-04-07T10:06:51-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/mercy-hospital-to-invest-60m-in-facility-upgrades,Fetch error: Failed both requests and Selenium
CMS hikes Medicare Advantage rate 2.48% for 2027: 6 notes,2026-04-06T16:48:41-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/cms-hikes-medicare-advantage-rate-2-48-for-2027-6-notes,Fetch error: Failed both requests and Selenium
"As states scramble to supplement Medicaid cuts, MCO taxes are a tricky part of the equation",2026-04-06T15:44:00-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/as-states-scramble-to-supplement-medicaid-cuts-mco-taxes-are-a-tricky-part-of-the-equation,Fetch error: Failed both requests and Selenium
Kansas system to phase out pediatric ICU services,2026-04-06T09:34:31-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/kansas-system-to-phase-out-pediatric-icu-services,Fetch error: Failed both requests and Selenium
Elevance to expand out-of-network penalty policy to New York,2026-04-06T09:24:03-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/elevance-to-expand-out-of-network-penalty-policy-to-new-york,Fetch error: Failed both requests and Selenium
Wyoming hospital eyes critical access transition amid 'dramatic shift' in payer mix,2026-04-06T09:16:37-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/wyoming-hospital-eyes-critical-access-transition-amid-dramatic-shift-in-payer-mix,Fetch error: Failed both requests and Selenium
10 providers seeking RCM talent,2026-04-06T08:57:08-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/revenue-cycle-management/10-providers-seeking-rcm-talent-41,Fetch error: Failed both requests and Selenium
Rhode Island hospital birthing center to remain open amid funding push,2026-04-03T16:30:00-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/rhode-island-hospital-birthing-center-to-remain-open-amid-funding-push,Fetch error: Failed both requests and Selenium
27 hospitals closing departments or ending services,2026-04-03T15:03:19-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/27-hospitals-closing-departments-or-ending-services,Fetch error: Failed both requests and Selenium
CMS Innovation Center spent $7.9B in 1 decade: 7 notes,2026-04-03T13:38:12-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/cms-innovation-center-spent-7-9b-in-1-decade-7-notes,Fetch error: Failed both requests and Selenium
HonorHealth margin dropped to -0.2% in 2025,2026-04-03T13:21:40-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/honorhealth-margin-dropped-to-0-2-in-2025,Fetch error: Failed both requests and Selenium
CEOs sharpen discipline on capital investments,2026-04-14T08:00:00-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/capital/ceos-sharpen-discipline-on-capital-investments,Fetch error: Failed both requests and Selenium
CMS pitches payment rules for 4 care settings: 12 notes,2026-04-03T10:01:03-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/cms-pitches-payment-rules-for-4-care-settings-12-notes,Fetch error: Failed both requests and Selenium
Lovelace closes New Mexico clinic 1 year post-acquisition,2026-04-02T16:45:40-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/lovelace-closes-new-mexico-clinic-1-year-post-acquisition,Fetch error: Failed both requests and Selenium
Health systems on average aren't breaking even,2026-04-02T16:31:04-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/health-systems-on-average-arent-breaking-even,Fetch error: Failed both requests and Selenium
Americans 65+ receive 6x more in federal spending than younger groups: Analysis,2026-04-02T16:08:28-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/americans-65-receive-6x-more-in-federal-spending-than-younger-groups-analysis,Fetch error: Failed both requests and Selenium
The 'grow your own' mentality at LMH Health,2026-04-02T15:56:52-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/the-grow-your-own-mentality-at-lmh-health,Fetch error: Failed both requests and Selenium
5 CFO job openings with HCA,2026-04-02T15:44:26-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/5-cfo-job-openings-with-hca-2,Fetch error: Failed both requests and Selenium
Providence eyes divestitures to stabilize finances,2026-04-02T13:06:02-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/providence-eyes-divestitures-to-stabilize-finances,Fetch error: Failed both requests and Selenium
"Merrimack Health to consolidate maternity, neonatal services",2026-04-02T11:15:01-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/merrimack-health-to-consolidate-maternity-neonatal-services,Fetch error: Failed both requests and Selenium
Memorial Hermann goes out of network with BCBS Texas,2026-04-02T09:55:40-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/memorial-hermann-goes-out-of-network-with-bcbs-texas,Fetch error: Failed both requests and Selenium
"'The work is far from over': CommonSpirit, Ascension, Providence report mixed financial results",2026-04-02T09:30:16-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/the-work-is-far-from-over-commonspirit-ascension-providence-report-mixed-financial-results,Fetch error: Failed both requests and Selenium
Colorado Hospital Association partners on AI-driven denial reduction,2026-04-02T09:19:41-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/revenue-cycle-management/colorado-hospital-association-partners-on-ai-driven-denial-reduction,Fetch error: Failed both requests and Selenium
19 health systems dropping Medicare Advantage plans | 2026,2026-04-01T16:36:45-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-health-systems-dropping-medicare-advantage-plans-2026,Fetch error: Failed both requests and Selenium
"UT Southwestern, Children's Health land $100M gift for Dallas pediatric campus",2026-04-01T16:22:41-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/ut-southwestern-childrens-health-land-100m-gift-for-dallas-pediatric-campus,Fetch error: Failed both requests and Selenium
CMS requests ACOs apply for LEAD model,2026-04-01T14:47:05-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/cms-requests-acos-apply-for-lead-model,Fetch error: Failed both requests and Selenium
Closed Illinois hospital owner eyes July reopening,2026-04-01T14:33:50-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/closed-illinois-hospital-owner-eyes-july-reopening,Fetch error: Failed both requests and Selenium
Regulators zero in on hospital contracting,2026-04-01T13:19:13-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/regulators-zero-in-on-hospital-contracting,Fetch error: Failed both requests and Selenium
Hennepin Healthcare warns of closure without legislative funding,2026-04-01T09:51:53-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/hennepin-healthcare-warns-of-closure-without-legislative-funding,Fetch error: Failed both requests and Selenium
"Ensemble, Cohere building first RCM-native LLM",2026-04-01T09:01:29-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/revenue-cycle-management/ensemble-cohere-building-first-rcm-native-llm,Fetch error: Failed both requests and Selenium
4 health systems back in the black in 2025,2026-04-01T08:29:37-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/4-health-systems-back-in-the-black-in-2025,Fetch error: Failed both requests and Selenium
'Our stockholders are the members of our community': Inside Carilion Clinic's mission-driven margin strategy,2026-04-01T08:08:37-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/our-stockholders-are-the-members-of-our-community-inside-carilion-clinics-mission-driven-margin-strategy,Fetch error: Failed both requests and Selenium
"Ohio long-term acute care hospital to close, lay off 116",2026-04-14T08:30:20-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/ohio-long-term-acute-care-hospital-to-close-lay-off-116,Empty or blocked article page
"Mount Sinai, Anthem reach 3-year agreement",2026-04-14T08:18:46-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/mount-sinai-anthem-reach-3-year-agreement,Empty or blocked article page
Days cash on hand at 50 health systems,2026-04-14T08:12:33-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/days-cash-on-hand-at-50-health-systems,Empty or blocked article page
The physician specialties seeing the highest pay growth,2026-04-14T08:30:00-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/compensation-issues/the-physician-specialties-seeing-the-highest-pay-growth,Empty or blocked article page
Ascension Sacred Heart opens 4th freestanding ED in Florida,2026-04-14T08:44:17-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/capital/ascension-sacred-heart-opens-4th-freestanding-ed-in-florida,Empty or blocked article page
White House considers physician for FDA vaccine director,2026-04-14T09:00:00-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/quality/public-health/white-house-considers-physician-for-fda-vaccine-director,Empty or blocked article page
Lawsuit claims Dartmouth executive was fired for raising supply chain safety concerns,2026-04-14T09:01:45-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/legal-regulatory-issues/lawsuit-claims-dartmouth-executive-was-fired-for-raising-supply-chain-safety-concerns,Empty or blocked article page
This Keck hospital cut nitrous oxide from the OR: How it's going,2026-04-14T09:15:00-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/or/this-keck-hospital-cut-nitrous-oxide-from-the-or-how-its-going,Empty or blocked article page
4th state recognizes PAs as 'physician associates',2026-04-14T09:18:25-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/legal-regulatory-issues/4th-state-recognizes-pas-as-physician-associates,Empty or blocked article page
UHS-owned Nevada hospital taps COO,2026-04-14T09:23:08-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/hospital-executive-moves/uhs-owned-nevada-hospital-taps-coo,Empty or blocked article page
Pharmacy leaders weigh experience over NAPLEX scores,2026-04-14T09:35:19-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/pharmacy/pharmacy-leaders-weigh-experience-over-naplex-scores,Empty or blocked article page
43 states have mental health insurance disparities: 4 trends,2026-04-14T09:38:36-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/quality/patient-safety-outcomes/43-states-have-mental-health-insurance-disparities-4-trends,Empty or blocked article page
Viewpoint: Safeguarding care in rural Missouri demands a new approach,2026-04-14T09:52:52-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/rural-health/policy-regulation/viewpoint-safeguarding-care-in-rural-missouri-demands-a-new-approach,Empty or blocked article page
Indiana hospital serves Anthem breach notice over alleged payment issues,2026-04-14T17:47:19-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/indiana-hospital-serves-anthem-breach-notice-over-alleged-payment-issues,Empty or blocked article page
Lawmakers weigh sales tax hike for struggling Hennepin Health,2026-04-14T14:33:43-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/lawmakers-weigh-sales-tax-hike-for-struggling-hennepin-health,Empty or blocked article page
CFOs as strategists: How finance leaders are rewriting their role,2026-04-14T09:00:00-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/cfos-as-strategists-how-finance-leaders-are-rewriting-their-role,Empty or blocked article page
Prime gets approval to acquire 9th Illinois hospital,2026-04-14T16:13:14-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/m-and-a/prime-gets-state-approval-to-acquire-9th-illinois-hospital,Empty or blocked article page
